ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-0787,Anti-Ship Weapon Role,ship-killer role,Combat & weapons,Weapon role,Design classification for weapons efficient against large vessels but inefficient against small craft.,Encodes target specialisation,role/category,Canonical generic concept derived from Anti-Ship.,Fleet wargames,Generic design concept,OPR-WF-WIKI,https://wiki.onepagerules.com/index.php/Grimdark_Future_Warfleets_Special_Rules,,2026-09-23,anti-ship weapon role ship-killer role combat & weapons weapon role
WG-0788,Twin-Fire,split fire; twin target fire,Combat & weapons,Multi-target keyword,Weapon rule allowing one weapon system to attack two different targets in the same firing event.,Enables multi-target engagement,two targets,Distinct from simply having two attacks.,Grimdark Future: Warfleets,"System-specific label, generic concept",OPR-WF-WIKI,https://wiki.onepagerules.com/index.php/Grimdark_Future_Warfleets_Special_Rules,,2026-09-23,twin-fire split fire; twin target fire combat & weapons multi-target keyword
WG-0789,Rogue Squadron,rogue; off-phase squadron,Turn structure,Activation trait,Small-craft trait allowing activation outside the normal squadron phase with reduced action options.,Trades timing flexibility for action limits,trait/phase,Useful phase-breaking activation mechanic.,Grimdark Future: Warfleets,Generic concept,OPR-WF-WIKI,https://wiki.onepagerules.com/index.php/Grimdark_Future_Warfleets_Special_Rules,,2026-09-23,rogue squadron rogue; off-phase squadron turn structure activation trait
WG-0790,Scan,sensor range; scan value,Detection & sensors,Sensor statistic,A ship statistic representing the reach of its own sensors.,Contributes to target acquisition range,distance,Pairs with target Signature rather than acting as weapon range.,Dropfleet Commander,"System-specific label, generic concept",DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,scan sensor range; scan value detection & sensors sensor statistic
WG-0791,Signature,signature value; sensor signature,Detection & sensors,Detectability statistic,A value representing how detectable a ship is to enemy sensors.,Extends or limits enemy acquisition range,distance,Generic signature-management concept.,Dropfleet Commander,Generic concept,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,signature signature value; sensor signature detection & sensors detectability statistic
WG-0792,Minor Spike,minor signature spike; spike,Detection & sensors,Detection marker,A temporary increase in a ship's detectable signature.,Makes a ship easier to acquire,marker / distance bonus,Lower tier of a graded detection-state mechanic.,Dropfleet Commander,System-specific,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,minor spike minor signature spike; spike detection & sensors detection marker
WG-0793,Major Spike,major signature spike,Detection & sensors,Detection marker,A stronger temporary increase in a ship's detectable signature.,Greatly increases detectability,marker / distance bonus,Higher tier of the Spike family.,Dropfleet Commander,System-specific,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,major spike major signature spike detection & sensors detection marker
WG-0794,Silent Running,silent running order; emissions control,Detection & sensors,Stealth order,An operating mode that suppresses a ship's detectable signature at the cost of other capabilities.,Trades actions/firepower for stealth,order/state,Generic emissions-control design family.,Dropfleet Commander,Generic concept with system label,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,silent running silent running order; emissions control detection & sensors stealth order
WG-0795,Active Scan,active sensor sweep; active scan order,Detection & sensors,Sensor action,An active sensor action used to expose or increase the detectability of another ship.,Trades own exposure/action economy for detection,action/order,Useful radar/sonar-style active sensing family.,Dropfleet Commander,Generic concept,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,active scan active sensor sweep; active scan order detection & sensors sensor action
WG-0796,Weapons Free,weapons-free order,Turn structure,Special order,An aggressive operating order allowing unusually broad weapon use while increasing exposure.,Trades stealth/mobility constraints for firepower,order,Common military phrase used here as a rules order.,Dropfleet Commander,Generic concept,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,weapons free weapons-free order turn structure special order
WG-0797,Station Keeping,hold station; station-keeping order,Movement,Special order,A movement order allowing a ship to remain nearly stationary or move slowly while retaining limited combat capability.,Controls low-speed positioning,order / fraction of thrust,Space/naval manoeuvre family.,Dropfleet Commander,Generic concept,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,station keeping hold station; station-keeping order movement special order
WG-0798,Course Change,course-change order,Movement,Special order,A manoeuvre order that exchanges some combat freedom for additional turning capability.,Increases heading-change freedom,order / turn angle,Useful facing-based movement term.,Dropfleet Commander,Generic concept,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,course change course-change order movement special order
WG-0799,Max Thrust,maximum thrust; flank thrust,Movement,Special order,A high-speed order that increases movement beyond normal thrust while restricting other actions.,Trades combat output for speed,order / multiple of thrust,Space equivalent of sprint/flank speed.,Dropfleet Commander,Generic concept,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,max thrust maximum thrust; flank thrust movement special order
WG-0800,Orbital Layer,orbit layer; altitude layer,Terrain & environment,Vertical position band,A discrete vertical band used to represent different orbital heights or atmospheric positions.,Abstracts three-dimensional position,ordinal layer,Useful alternative to continuous altitude.,Dropfleet Commander,Generic design concept,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,orbital layer orbit layer; altitude layer terrain & environment vertical position band
WG-0801,Close Action,close-action weapon,Combat & weapons,Range class,A weapon category intended for very short-range ship combat and often interacting with point defence.,Defines close-range naval/space weapon role,range class,Not synonymous with melee.,Dropfleet Commander,"System-specific label, generic concept",DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,close action close-action weapon combat & weapons range class
WG-0802,Point Defence,PD; point-defense,Combat & weapons,Defensive weapon system,"Defensive fire intended to intercept close threats such as bombers, missiles or boarding assets.",Intercepts incoming attack assets,rating / dice,Generic naval/space/air-defence concept.,Dropfleet Commander; Full Thrust,Generic,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,point defence pd; point-defense combat & weapons defensive weapon system
WG-0803,Launch Asset,launch asset; fighter/bomber asset,Game object,Auxiliary attack unit,A launched token or craft operating from a carrier rather than as a normal capital ship weapon.,Extends carrier attacks beyond direct weapons,token / launch rating,"Covers fighters, bombers and similar assets.",Dropfleet Commander,Generic concept,DFC-15,https://www.scribd.com/document/748336054/Desktop-Dropfleet-Rulebook-1-5,,2026-09-23,launch asset launch asset; fighter/bomber asset game object auxiliary attack unit
WG-0804,Troop Quality,TQ; quality die,Game data,Training statistic,A die-rated measure of a unit's training and battlefield competence.,Sets core task/combat die quality,die type,Die-step quality architecture.,Force on Force,Generic concept,FOF-OTT,https://www.ontabletop.com/modern-warfare/modern-wargaming-introduction/,,2026-09-23,troop quality tq; quality die game data training statistic
WG-0805,Confidence Level,confidence; confidence rating,Damage & morale,Morale trigger statistic,A rating describing how readily battlefield events force a unit to test morale.,Controls morale-test sensitivity,category,Separate from Morale itself.,Force on Force,Generic concept,FOF-OTT,https://www.ontabletop.com/modern-warfare/modern-wargaming-introduction/,,2026-09-23,confidence level confidence; confidence rating damage & morale morale trigger statistic
WG-0806,Supply Level,supply; supply rating,Logistics,Supply statistic,A rating representing how well supplied a force or unit is.,Modifies sustained combat capability,category,Useful logistics abstraction without tracking individual rounds.,Force on Force,Generic concept,FOF-OTT,https://www.ontabletop.com/modern-warfare/modern-wargaming-introduction/,,2026-09-23,supply level supply; supply rating logistics supply statistic
WG-0807,Reaction Test,reaction check; opposed reaction,Turn structure,Reaction resolution,A test used to determine the outcome or priority of an action-and-reaction interaction.,Resolves interruptive opposition,opposed dice/test,Useful reactive-turn architecture.,Force on Force,Generic concept,FOF-OTT,https://www.ontabletop.com/modern-warfare/modern-wargaming-introduction/,,2026-09-23,reaction test reaction check; opposed reaction turn structure reaction resolution
WG-0808,Initiative Level,initiative die; initiative rating,Turn structure,Initiative statistic,A force-level rating used when determining initiative or action priority.,Sets side-level tempo/priority,die type / rating,Separate from individual model Initiative.,Force on Force,Generic concept,FOF-OTT,https://www.ontabletop.com/modern-warfare/modern-wargaming-introduction/,,2026-09-23,initiative level initiative die; initiative rating turn structure initiative statistic
WG-0809,Patrol Phase,scouting phase,Deployment & army building,Pre-game phase,A pre-battle phase in which abstract patrol positions establish the contested deployment space.,Turns scouting into dynamic deployment,phase,Fog-of-war deployment architecture.,Chain of Command,"System-specific label, generic concept",COC-TFL,https://toofatlardies.co.uk/product/chain-of-command-2-token-set-2/,,2026-09-23,patrol phase scouting phase deployment & army building pre-game phase
